Gravando log em: logs\vgg16\v1\log_treino_foren.txt
Número de imagens no dataset de treino: 38246
Número de imagens no dataset de validação: 4781

Classes detectadas no treino: ['fake', 'real']
Mapeamento de classe para índice: {'fake': 0, 'real': 1}
GPU: NVIDIA GeForce RTX 3060
Epoch 10/10 | Step 400/1196 | Loss 0.3567
Epoch 10/10 | Step 500/1196 | Loss 0.3733
Epoch 10/10 | Step 600/1196 | Loss 0.3740
Epoch 10/10 | Step 700/1196 | Loss 0.3308
Epoch 10/10 | Step 800/1196 | Loss 0.3536
Epoch 10/10 | Step 900/1196 | Loss 0.3645
Epoch 10/10 | Step 1000/1196 | Loss 0.3489
Epoch 10/10 | Step 1100/1196 | Loss 0.3579
[Val] Epoch 10 | Acc=0.8841
Melhor acc: 0.8864

Tempo total de treino: 50m 37s
