Gravando log em: c:\Users\lgng\Desktop\Projeto Transformador II\tcc\logs\Vgg4\V1\log_treino_df.txt
Número de imagens no dataset de treino: 76507
Número de imagens no dataset de validação: 9563

Classes detectadas no treino: ['fake', 'real']
Mapeamento de classe para índice: {'fake': 0, 'real': 1}
GPU: NVIDIA GeForce GTX 1050 Ti
Class weights: [0.34072697 1.6592729 ]
Epoch 5/100 | Step 800/2391 | Loss 0.5142
Epoch 5/100 | Step 900/2391 | Loss 0.5374
Epoch 5/100 | Step 1000/2391 | Loss 0.5183
Epoch 5/100 | Step 1100/2391 | Loss 0.5017
Epoch 5/100 | Step 1200/2391 | Loss 0.5069
Epoch 5/100 | Step 1300/2391 | Loss 0.5240
Epoch 5/100 | Step 1400/2391 | Loss 0.5085
Epoch 5/100 | Step 1500/2391 | Loss 0.5138
Epoch 5/100 | Step 1600/2391 | Loss 0.5190
Epoch 5/100 | Step 1700/2391 | Loss 0.5200
Epoch 5/100 | Step 1800/2391 | Loss 0.5182
Epoch 5/100 | Step 1900/2391 | Loss 0.5210
Epoch 5/100 | Step 2000/2391 | Loss 0.5134
Epoch 5/100 | Step 2100/2391 | Loss 0.5115
Epoch 5/100 | Step 2200/2391 | Loss 0.5028
Epoch 5/100 | Step 2300/2391 | Loss 0.5318
[Val] Epoch 5 | Acc=0.5511
Sem melhora há 1 épocas
Epoch 6/100 | Step 100/2391 | Loss 0.5313
Epoch 6/100 | Step 200/2391 | Loss 0.4892
Epoch 6/100 | Step 300/2391 | Loss 0.4902
Epoch 6/100 | Step 400/2391 | Loss 0.5118
Epoch 6/100 | Step 500/2391 | Loss 0.5029
Epoch 6/100 | Step 600/2391 | Loss 0.5134
Epoch 6/100 | Step 700/2391 | Loss 0.5282
Epoch 6/100 | Step 800/2391 | Loss 0.5198
Epoch 6/100 | Step 900/2391 | Loss 0.5085
Epoch 6/100 | Step 1000/2391 | Loss 0.4862
Epoch 6/100 | Step 1100/2391 | Loss 0.4994
Epoch 6/100 | Step 1200/2391 | Loss 0.4852
Epoch 6/100 | Step 1300/2391 | Loss 0.4820
Epoch 6/100 | Step 1400/2391 | Loss 0.4882
Epoch 6/100 | Step 1500/2391 | Loss 0.5028
Epoch 6/100 | Step 1600/2391 | Loss 0.4780
Epoch 6/100 | Step 1700/2391 | Loss 0.5059
Epoch 6/100 | Step 1800/2391 | Loss 0.5150
